country,indicator,value,year
Cape Verde,totalDemand,315,2019
Cape Verde,totalDemand,643,2020
Cape Verde,totalDemand,448,2021
Cape Verde,totalDemand,568,2022
Cape Verde,totalDemand,429,2023
Cape Verde,totalDemand,7,2024
Chile,totalDemand,1101,2016
Chile,totalDemand,10485,2017
Chile,totalDemand,16779,2018
Chile,totalDemand,20646,2019
Chile,totalDemand,21042,2020
Chile,totalDemand,24878,2021
Chile,totalDemand,25334,2022
Chile,totalDemand,27285,2023
Chile,totalDemand,5292,2024
China,totalDemand,18992,2016
China,totalDemand,113964,2017
China,totalDemand,167624,2018
China,totalDemand,203076,2019
China,totalDemand,184306,2020
China,totalDemand,277267,2021
China,totalDemand,332443,2022
China,totalDemand,314184,2023
China,totalDemand,39836,2024
Colombia,totalDemand,5032,2016
Colombia,totalDemand,18265,2017
Colombia,totalDemand,24787,2018
Colombia,totalDemand,32644,2019
Colombia,totalDemand,37394,2020
Colombia,totalDemand,51854,2021
Colombia,totalDemand,54457,2022
Colombia,totalDemand,56053,2023
Colombia,totalDemand,12518,2024
Costa Rica,totalDemand,1822,2016
Costa Rica,totalDemand,11419,2017
Costa Rica,totalDemand,13537,2018
Costa Rica,totalDemand,16995,2019
Costa Rica,totalDemand,16999,2020
Costa Rica,totalDemand,22446,2021
Costa Rica,totalDemand,20860,2022
Costa Rica,totalDemand,20276,2023
Costa Rica,totalDemand,4254,2024
Croatia,totalDemand,2756,2016
Croatia,totalDemand,14625,2017
Croatia,totalDemand,18922,2018
Croatia,totalDemand,25456,2019
Croatia,totalDemand,27553,2020
Croatia,totalDemand,37122,2021
Croatia,totalDemand,40229,2022
Croatia,totalDemand,43252,2023
Croatia,totalDemand,7602,2024
Curacao,totalDemand,435,2016
Curacao,totalDemand,1717,2017
Curacao,totalDemand,1686,2018
Curacao,totalDemand,1958,2019
Curacao,totalDemand,1817,2020
Curacao,totalDemand,2740,2021
Curacao,totalDemand,4087,2022
Curacao,totalDemand,5369,2023
Curacao,totalDemand,576,2024
Cyprus,totalDemand,4990,2016
Cyprus,totalDemand,27074,2017
Cyprus,totalDemand,36509,2018
Cyprus,totalDemand,49521,2019
Cyprus,totalDemand,50108,2020
Cyprus,totalDemand,72948,2021
Cyprus,totalDemand,86323,2022
Cyprus,totalDemand,84737,2023
Cyprus,totalDemand,15716,2024
Czech Republic,totalDemand,5451,2016
Czech Republic,totalDemand,32214,2017
Czech Republic,totalDemand,38151,2018
Czech Republic,totalDemand,47306,2019
Czech Republic,totalDemand,41766,2020
Czech Republic,totalDemand,56720,2021
Czech Republic,totalDemand,64373,2022
Czech Republic,totalDemand,65028,2023
Czech Republic,totalDemand,13194,2024
Denmark,totalDemand,12364,2016
Denmark,totalDemand,73349,2017
Denmark,totalDemand,102672,2018
Denmark,totalDemand,111253,2019
Denmark,totalDemand,105567,2020
Denmark,totalDemand,143515,2021
Denmark,totalDemand,146978,2022
Denmark,totalDemand,137360,2023
Denmark,totalDemand,23808,2024
Dominica,totalDemand,295,2016
Dominica,totalDemand,899,2017
Dominica,totalDemand,989,2018
Dominica,totalDemand,1046,2019
Dominica,totalDemand,1092,2020
Dominica,totalDemand,1760,2021
Dominica,totalDemand,1637,2022
Dominica,totalDemand,620,2023
Dominica,totalDemand,204,2024
Dominican Republic,totalDemand,1594,2016
Dominican Republic,totalDemand,11281,2017
Dominican Republic,totalDemand,12916,2018
Dominican Republic,totalDemand,13358,2019
Dominican Republic,totalDemand,14942,2020
Dominican Republic,totalDemand,21103,2021
Dominican Republic,totalDemand,24895,2022
Dominican Republic,totalDemand,24309,2023
Dominican Republic,totalDemand,4184,2024
Ecuador,totalDemand,953,2016
Ecuador,totalDemand,6231,2017
Ecuador,totalDemand,8588,2018
Ecuador,totalDemand,12056,2019
Ecuador,totalDemand,12454,2020
Ecuador,totalDemand,13495,2021
Ecuador,totalDemand,12981,2022
Ecuador,totalDemand,15914,2023
Ecuador,totalDemand,2995,2024
Egypt,totalDemand,13415,2016
Egypt,totalDemand,45995,2017
Egypt,totalDemand,66577,2018
Egypt,totalDemand,94358,2019
Egypt,totalDemand,125159,2020
Egypt,totalDemand,157265,2021
Egypt,totalDemand,175834,2022
Egypt,totalDemand,205627,2023
Egypt,totalDemand,24608,2024
El Salvador,totalDemand,309,2016
El Salvador,totalDemand,2679,2017
El Salvador,totalDemand,3021,2018
El Salvador,totalDemand,3919,2019
El Salvador,totalDemand,5413,2020
El Salvador,totalDemand,5199,2021
El Salvador,totalDemand,6355,2022
El Salvador,totalDemand,7039,2023
El Salvador,totalDemand,991,2024
Estonia,totalDemand,1546,2016
Estonia,totalDemand,42289,2017
Estonia,totalDemand,67413,2018
Estonia,totalDemand,73658,2019
Estonia,totalDemand,63370,2020
Estonia,totalDemand,109441,2021
Estonia,totalDemand,101854,2022
Estonia,totalDemand,93696,2023
Estonia,totalDemand,13760,2024
Ethiopia,totalDemand,234,2016
Ethiopia,totalDemand,1360,2017
Ethiopia,totalDemand,2429,2018
Ethiopia,totalDemand,3634,2019
Ethiopia,totalDemand,6324,2020
Ethiopia,totalDemand,8109,2021
Ethiopia,totalDemand,19957,2022
Ethiopia,totalDemand,22460,2023
Ethiopia,totalDemand,4821,2024
Finland,totalDemand,2166,2016
Finland,totalDemand,26810,2017
Finland,totalDemand,31954,2018
Finland,totalDemand,38966,2019
Finland,totalDemand,37829,2020
Finland,totalDemand,51113,2021
Finland,totalDemand,60637,2022
Finland,totalDemand,51520,2023
Finland,totalDemand,8723,2024
France,totalDemand,27326,2016
France,totalDemand,179711,2017
France,totalDemand,243864,2018
France,totalDemand,312926,2019
France,totalDemand,339587,2020
France,totalDemand,452452,2021
France,totalDemand,458892,2022
France,totalDemand,450333,2023
France,totalDemand,95703,2024
French Polynesia,totalDemand,156,2016
French Polynesia,totalDemand,841,2017
French Polynesia,totalDemand,747,2018
French Polynesia,totalDemand,1858,2019
French Polynesia,totalDemand,1440,2020
French Polynesia,totalDemand,682,2021
French Polynesia,totalDemand,939,2022
French Polynesia,totalDemand,934,2023
French Polynesia,totalDemand,270,2024
Georgia,totalDemand,1512,2016
Georgia,totalDemand,7010,2017
Georgia,totalDemand,14304,2018
Georgia,totalDemand,20166,2019
Georgia,totalDemand,17241,2020
Georgia,totalDemand,29395,2021
Georgia,totalDemand,52462,2022
Georgia,totalDemand,49316,2023
Georgia,totalDemand,8483,2024
Germany,totalDemand,49167,2016
Germany,totalDemand,299843,2017
Germany,totalDemand,449008,2018
Germany,totalDemand,538116,2019
Germany,totalDemand,539060,2020
Germany,totalDemand,739878,2021
Germany,totalDemand,776058,2022
Germany,totalDemand,703852,2023
Germany,totalDemand,119826,2024
Ghana,totalDemand,5208,2016
Ghana,totalDemand,9341,2017
Ghana,totalDemand,11362,2018
Ghana,totalDemand,13308,2019
Ghana,totalDemand,14500,2020
Ghana,totalDemand,20034,2021
Ghana,totalDemand,21708,2022
Ghana,totalDemand,21380,2023
Ghana,totalDemand,2107,2024
Greece,totalDemand,5270,2016
Greece,totalDemand,27366,2017
Greece,totalDemand,40028,2018
Greece,totalDemand,46236,2019
Greece,totalDemand,46724,2020
Greece,totalDemand,68539,2021
Greece,totalDemand,75571,2022
Greece,totalDemand,70344,2023
Greece,totalDemand,12319,2024
Grenada,totalDemand,258,2016
Grenada,totalDemand,798,2017
Grenada,totalDemand,1288,2018
Grenada,totalDemand,1366,2019
Grenada,totalDemand,1222,2020
Grenada,totalDemand,1344,2021
Grenada,totalDemand,1120,2022
Grenada,totalDemand,1510,2023
Grenada,totalDemand,333,2024
Guatemala,totalDemand,277,2016
Guatemala,totalDemand,4466,2017
Guatemala,totalDemand,5319,2018
Guatemala,totalDemand,6986,2019
Guatemala,totalDemand,5504,2020
Guatemala,totalDemand,6861,2021
Guatemala,totalDemand,7620,2022
Guatemala,totalDemand,6911,2023
Guatemala,totalDemand,1211,2024
Guinea,totalDemand,264,2016
Guinea,totalDemand,271,2017
Guinea,totalDemand,269,2018
Guinea,totalDemand,471,2019
Guinea,totalDemand,627,2020
Guinea,totalDemand,910,2021
Guinea,totalDemand,936,2022
Guinea,totalDemand,1071,2023
Guinea,totalDemand,123,2024
Honduras,totalDemand,30,2016
Honduras,totalDemand,4009,2017
Honduras,totalDemand,4240,2018
Honduras,totalDemand,3721,2019
Honduras,totalDemand,4514,2020
Honduras,totalDemand,5946,2021
Honduras,totalDemand,6264,2022
Honduras,totalDemand,6563,2023
Honduras,totalDemand,1250,2024
Hong Kong,totalDemand,23676,2016
Hong Kong,totalDemand,149800,2017
Hong Kong,totalDemand,188171,2018
Hong Kong,totalDemand,225633,2019
Hong Kong,totalDemand,210270,2020
Hong Kong,totalDemand,260892,2021
Hong Kong,totalDemand,291098,2022
Hong Kong,totalDemand,217854,2023
Hong Kong,totalDemand,31890,2024
"Hong Kong SAR, PRC",totalDemand,792,2016
"Hong Kong SAR, PRC",totalDemand,290,2017
Hungary,totalDemand,4220,2016
Hungary,totalDemand,27289,2017
Hungary,totalDemand,33975,2018
Hungary,totalDemand,42505,2019
Hungary,totalDemand,43736,2020
Hungary,totalDemand,65442,2021
Hungary,totalDemand,67505,2022
Hungary,totalDemand,64541,2023
Hungary,totalDemand,11022,2024
Iceland,totalDemand,582,2016
Iceland,totalDemand,5580,2017
Iceland,totalDemand,8817,2018
Iceland,totalDemand,7904,2019
Iceland,totalDemand,8076,2020
Iceland,totalDemand,11144,2021
Iceland,totalDemand,13915,2022
Iceland,totalDemand,13111,2023
Iceland,totalDemand,2248,2024
India,totalDemand,191010,2016
India,totalDemand,840058,2017
India,totalDemand,1161436,2018
India,totalDemand,1451664,2019
India,totalDemand,1831731,2020
India,totalDemand,2369924,2021
India,totalDemand,2640201,2022
India,totalDemand,2666316,2023
India,totalDemand,375352,2024
Indonesia,totalDemand,7321,2016
Indonesia,totalDemand,32278,2017
Indonesia,totalDemand,41519,2018
Indonesia,totalDemand,50986,2019
Indonesia,totalDemand,48959,2020
Indonesia,totalDemand,75889,2021
Indonesia,totalDemand,86029,2022
Indonesia,totalDemand,92170,2023
Indonesia,totalDemand,15972,2024
Ireland,totalDemand,14775,2016
Ireland,totalDemand,96010,2017
Ireland,totalDemand,128132,2018
Ireland,totalDemand,141426,2019
Ireland,totalDemand,149812,2020
Ireland,totalDemand,210660,2021
Ireland,totalDemand,198071,2022
Ireland,totalDemand,190124,2023
Ireland,totalDemand,38500,2024
Israel,totalDemand,30885,2016
Israel,totalDemand,211144,2017
Israel,totalDemand,280932,2018
Israel,totalDemand,317995,2019
Israel,totalDemand,326267,2020
Israel,totalDemand,419938,2021
Israel,totalDemand,385759,2022
Israel,totalDemand,355389,2023
Israel,totalDemand,55190,2024
Italy,totalDemand,15944,2016
Italy,totalDemand,98273,2017
Italy,totalDemand,139861,2018
Italy,totalDemand,167120,2019
Italy,totalDemand,182265,2020
Italy,totalDemand,250708,2021
Italy,totalDemand,264513,2022
Italy,totalDemand,274897,2023
Italy,totalDemand,44323,2024
Jamaica,totalDemand,2508,2016
Jamaica,totalDemand,12853,2017
Jamaica,totalDemand,16595,2018
Jamaica,totalDemand,17577,2019
Jamaica,totalDemand,21513,2020
Jamaica,totalDemand,25832,2021
Jamaica,totalDemand,25346,2022
Jamaica,totalDemand,26365,2023
Jamaica,totalDemand,4036,2024
Japan,totalDemand,7206,2016
Japan,totalDemand,53238,2017
Japan,totalDemand,70047,2018
Japan,totalDemand,77370,2019
Japan,totalDemand,75625,2020
Japan,totalDemand,111197,2021
Japan,totalDemand,151338,2022
Japan,totalDemand,121596,2023
Japan,totalDemand,23514,2024
Jersey,totalDemand,32,2016
Jersey,totalDemand,1313,2017
Jersey,totalDemand,2603,2018
Jersey,totalDemand,2842,2019
Jersey,totalDemand,2649,2020
Jersey,totalDemand,3251,2021
Jersey,totalDemand,3685,2022
Jersey,totalDemand,5477,2023
Jersey,totalDemand,776,2024
Jordan,totalDemand,2914,2016
Jordan,totalDemand,18290,2017
Jordan,totalDemand,28033,2018
Jordan,totalDemand,41008,2019
Jordan,totalDemand,41540,2020
Jordan,totalDemand,60034,2021
Jordan,totalDemand,59856,2022
Jordan,totalDemand,58422,2023
Jordan,totalDemand,8393,2024
Kazakhstan,totalDemand,225,2016
Kazakhstan,totalDemand,892,2017
Kazakhstan,totalDemand,900,2018
Kazakhstan,totalDemand,547,2019
Kazakhstan,totalDemand,14,2020
Kenya,totalDemand,7664,2016
Kenya,totalDemand,27535,2017
Kenya,totalDemand,39158,2018
Kenya,totalDemand,46634,2019
Kenya,totalDemand,58567,2020
Kenya,totalDemand,81520,2021
Kenya,totalDemand,101135,2022
Kenya,totalDemand,108936,2023
Kenya,totalDemand,21254,2024
Kuwait,totalDemand,4128,2016
Kuwait,totalDemand,21264,2017
Kuwait,totalDemand,32507,2018
Kuwait,totalDemand,43778,2019
Kuwait,totalDemand,48882,2020
Kuwait,totalDemand,66123,2021
Kuwait,totalDemand,58690,2022
Kuwait,totalDemand,58212,2023
Kuwait,totalDemand,8093,2024
Laos,totalDemand,40,2016
Laos,totalDemand,832,2017
Laos,totalDemand,1263,2018
Laos,totalDemand,2238,2019
Laos,totalDemand,3253,2020
Laos,totalDemand,2371,2021
Laos,totalDemand,1923,2022
Laos,totalDemand,1408,2023
Laos,totalDemand,73,2024
Latvia,totalDemand,2855,2016
Latvia,totalDemand,16192,2017
Latvia,totalDemand,26056,2018
Latvia,totalDemand,31016,2019
Latvia,totalDemand,30344,2020
Latvia,totalDemand,49843,2021
Latvia,totalDemand,55553,2022
Latvia,totalDemand,53174,2023
Latvia,totalDemand,6986,2024
Lebanon,totalDemand,1535,2016
Lebanon,totalDemand,21386,2017
Lebanon,totalDemand,36043,2018
Lebanon,totalDemand,41323,2019
Lebanon,totalDemand,34545,2020
Lebanon,totalDemand,41512,2021
Lebanon,totalDemand,48435,2022
Lebanon,totalDemand,58687,2023
Lebanon,totalDemand,9968,2024
Lithuania,totalDemand,2605,2016
Lithuania,totalDemand,25741,2017
Lithuania,totalDemand,47191,2018
Lithuania,totalDemand,51393,2019
Lithuania,totalDemand,62095,2020
Lithuania,totalDemand,82068,2021
Lithuania,totalDemand,86787,2022
Lithuania,totalDemand,72740,2023
Lithuania,totalDemand,12168,2024
Luxembourg,totalDemand,999,2016
Luxembourg,totalDemand,8674,2017
Luxembourg,totalDemand,12856,2018
Luxembourg,totalDemand,16449,2019
Luxembourg,totalDemand,16768,2020
Luxembourg,totalDemand,21136,2021
Luxembourg,totalDemand,22981,2022
Luxembourg,totalDemand,18106,2023
Luxembourg,totalDemand,2617,2024
Macau,totalDemand,48,2016
Macau,totalDemand,68,2017
Macau,totalDemand,149,2018
Macau,totalDemand,19,2019
Macau,totalDemand,75,2020
Macau,totalDemand,400,2022
Macau,totalDemand,37,2023
Macedonia,totalDemand,1082,2016
Macedonia,totalDemand,8473,2017
Macedonia,totalDemand,9879,2018
Macedonia,totalDemand,11218,2019
Macedonia,totalDemand,11320,2020
Macedonia,totalDemand,18672,2021
Macedonia,totalDemand,25436,2022
Macedonia,totalDemand,25296,2023
Macedonia,totalDemand,4553,2024
Madagascar,totalDemand,143,2016
Madagascar,totalDemand,925,2017
Madagascar,totalDemand,1264,2018
Madagascar,totalDemand,1486,2019
Madagascar,totalDemand,2023,2020
Madagascar,totalDemand,2396,2021
Madagascar,totalDemand,2599,2022
Madagascar,totalDemand,3061,2023
Madagascar,totalDemand,577,2024
Malaysia,totalDemand,17545,2016
Malaysia,totalDemand,94391,2017
Malaysia,totalDemand,108809,2018
Malaysia,totalDemand,132804,2019
Malaysia,totalDemand,137975,2020
Malaysia,totalDemand,175181,2021
Malaysia,totalDemand,156842,2022
Malaysia,totalDemand,154444,2023
Malaysia,totalDemand,22822,2024
Maldives,totalDemand,274,2016
Maldives,totalDemand,1675,2017
Maldives,totalDemand,2085,2018
Maldives,totalDemand,2536,2019
Maldives,totalDemand,2690,2020
Maldives,totalDemand,3402,2021
Maldives,totalDemand,4009,2022
Maldives,totalDemand,4450,2023
Maldives,totalDemand,573,2024
Malta,totalDemand,1491,2016
Malta,totalDemand,15687,2017
Malta,totalDemand,23676,2018
Malta,totalDemand,30548,2019
Malta,totalDemand,33995,2020
Malta,totalDemand,49259,2021
Malta,totalDemand,54532,2022
Malta,totalDemand,64159,2023
Malta,totalDemand,18446,2024
Mauritius,totalDemand,476,2016
Mauritius,totalDemand,7871,2017
Mauritius,totalDemand,10668,2018
Mauritius,totalDemand,9958,2019
Mauritius,totalDemand,9946,2020
Mauritius,totalDemand,12809,2021
Mauritius,totalDemand,13146,2022
Mauritius,totalDemand,10726,2023
Mauritius,totalDemand,2063,2024
Mexico,totalDemand,6957,2016
Mexico,totalDemand,44594,2017
Mexico,totalDemand,57521,2018
Mexico,totalDemand,72504,2019
Mexico,totalDemand,71070,2020
Mexico,totalDemand,83926,2021
Mexico,totalDemand,96682,2022
Mexico,totalDemand,105137,2023
Mexico,totalDemand,18455,2024
Moldova,totalDemand,972,2016
Moldova,totalDemand,5819,2017
Moldova,totalDemand,13282,2018
Moldova,totalDemand,18573,2019
Moldova,totalDemand,16017,2020
Moldova,totalDemand,20925,2021
Moldova,totalDemand,23700,2022
Moldova,totalDemand,25379,2023
Moldova,totalDemand,4384,2024
Monaco,totalDemand,363,2016
Monaco,totalDemand,1375,2017
Monaco,totalDemand,2066,2018
Monaco,totalDemand,2414,2019
Monaco,totalDemand,2940,2020
Monaco,totalDemand,4276,2021
Monaco,totalDemand,5524,2022
Monaco,totalDemand,4564,2023
Monaco,totalDemand,565,2024
Mongolia,totalDemand,17,2016
Mongolia,totalDemand,1023,2017
Mongolia,totalDemand,1601,2018
Mongolia,totalDemand,2406,2019
Mongolia,totalDemand,3700,2020
Mongolia,totalDemand,3065,2021
Mongolia,totalDemand,3489,2022
Mongolia,totalDemand,3731,2023
Mongolia,totalDemand,521,2024
Morocco,totalDemand,3500,2016
Morocco,totalDemand,18334,2017
Morocco,totalDemand,28791,2018
Morocco,totalDemand,42737,2019
Morocco,totalDemand,43046,2020
Morocco,totalDemand,65809,2021
Morocco,totalDemand,73704,2022
Morocco,totalDemand,82266,2023
Morocco,totalDemand,15217,2024
Myanmar,totalDemand,24,2016
Myanmar,totalDemand,1532,2017
Myanmar,totalDemand,2687,2018
Myanmar,totalDemand,3327,2019
Myanmar,totalDemand,4628,2020
Myanmar,totalDemand,4455,2021
Myanmar,totalDemand,4407,2022
Myanmar,totalDemand,5271,2023
Myanmar,totalDemand,438,2024
Namibia,totalDemand,205,2016
Namibia,totalDemand,1504,2017
Namibia,totalDemand,2460,2018
Namibia,totalDemand,3588,2019
Namibia,totalDemand,3001,2020
Namibia,totalDemand,3891,2021
Namibia,totalDemand,4468,2022
Namibia,totalDemand,3832,2023
Namibia,totalDemand,715,2024
Nepal,totalDemand,429,2016
Nepal,totalDemand,5644,2017
Nepal,totalDemand,7706,2018
Nepal,totalDemand,8404,2019
Nepal,totalDemand,16872,2020
Nepal,totalDemand,29196,2021
Nepal,totalDemand,32119,2022
